pair_id,ideaA,ideaB,i_id,j_id,j_i_to_j,j_j_to_i,j_sym,has_sep,jweight
293,philosophy of biology,philosophy of science,704,722,0.00110103,0.00103872,0.00110103,True,0.00110103
294,molecular biology,philosophy of science and the sciences,1215,1826,0.000578942,0.000476704,0.000578942,True,0.000578942
295,induction,epistemology,662,646,0.000473885,0.000466093,0.000473885,True,0.000473885
296,cause and effect,metaphysics,1897,681,0.000720678,0.000690265,0.000720678,True,0.000720678
297,metaphysics,metaphysics of mind,681,897,0.000143831,0.000181692,0.000181692,True,0.000143831
298,contextualism,epistemology,130,646,9.43137e-05,9.13555e-05,9.43137e-05,True,9.43137e-05
299,18th century british aesthetics,philosophy of mind,1721,715,7.12132e-05,6.76953e-05,7.12132e-05,True,7.12132e-05
300,proper names,metaphysics,2019,681,0.000185021,0.000180293,0.000185021,True,0.000185021
301,panpsychism,philosophy of mind,695,715,0.000147929,0.000140158,0.000147929,True,0.000147929
302,religion and politics,philosophy of religion,1558,724,0.000931869,0.000852836,0.000931869,True,0.000931869
303,18th century german aesthetics,perception,1856,2078,3.69843e-05,3.64316e-05,3.69843e-05,True,3.69843e-05
304,plato on knowledge in the theaetetus,knowledge,1366,2075,0.000445428,0.000402983,0.000445428,True,0.000445428
305,bioethics,applied ethics,621,619,3.89218e-05,3.91111e-05,3.91111e-05,True,3.89218e-05
306,gettier problem,perception,1550,2078,1.11224e-05,1.07635e-05,1.11224e-05,True,1.11224e-05
307,mohism,chinese philosophy,352,624,6.96676e-05,7.01838e-05,7.01838e-05,True,6.96676e-05
308,computation and representation,artificial intelligence,936,890,4.7976e-05,4.58923e-05,4.7976e-05,True,4.7976e-05
309,epistemological problems of memory,epistemology,1241,646,4.6828e-05,4.62377e-05,4.6828e-05,True,4.6828e-05
310,teleological theories of mental content,mental content,1272,925,0.000139481,0.000140253,0.000140253,True,0.000139481
311,confirmation and induction,epistemology,1804,646,0.000663511,0.000654559,0.000663511,True,0.000663511
312,islamic philosophy,philosophy of religion,670,724,0.000215342,0.000200396,0.000215342,True,0.000215342
313,boltzmann's work in statistical physics,philosophy of science and the sciences,1156,1826,8.55503e-05,7.57701e-05,8.55503e-05,True,8.55503e-05
314,forms of government,philosophy of religion,1794,724,0.00016599,0.000152923,0.00016599,True,0.00016599
315,philosophy of language,logical form,712,934,0.000604606,0.000646104,0.000646104,True,0.000604606
316,religious language,philosophy of religion,1573,724,0.00143695,0.00128909,0.00143695,True,0.00143695
317,perception,philosophy of mind,2078,715,0.0022651,0.00219041,0.0022651,True,0.0022651
318,propositional attitude,philosophy of mind,944,715,0.000357955,0.000330813,0.000357955,True,0.000357955
319,neural correlates,perception,879,2078,8.46666e-05,7.97991e-05,8.46666e-05,True,8.46666e-05
320,descartes and the pineal gland,perception,1371,2078,9.3863e-06,9.21205e-06,9.3863e-06,True,9.3863e-06
321,literature,philosophy of science and the sciences,1898,1826,0.0023658,0.00208399,0.0023658,True,0.0023658
322,surrealism,perception,552,2078,1.33509e-05,1.2443e-05,1.33509e-05,True,1.33509e-05
323,toleration,philosophy of religion,1995,724,0.00071632,0.00065446,0.00071632,True,0.00071632
324,philosophy of mind,metaphysics,715,681,0.00223238,0.00233156,0.00233156,True,0.00223238
325,function of consciousness,aspects of consciousness,878,1785,,,,False,
326,early philosophical interpretations of general relativity,epistemology,1335,646,1.12874e-06,1.11982e-06,1.12874e-06,True,1.12874e-06
327,medieval theories of analogy,metaphysics,1329,681,7.9807e-06,7.8648e-06,7.9807e-06,True,7.9807e-06
328,plato on utopia,metaphysics,1365,681,5.11279e-06,5.04989e-06,5.11279e-06,True,5.11279e-06
329,continental philosophy,pragmatism,631,461,7.10191e-05,6.96292e-05,7.10191e-05,True,7.10191e-05
330,symbolic processing,artificial intelligence,954,890,2.10358e-05,2.04376e-05,2.10358e-05,True,2.10358e-05
331,aristotle's natural philosophy,metaphysics,1855,681,1.04791e-06,1.03643e-06,1.04791e-06,True,1.04791e-06
332,consciousness and intentionality,perception,1227,2078,3.609e-05,3.54821e-05,3.609e-05,True,3.609e-05
333,philosophy of psychology,metaphysics,720,681,0.00156691,0.00155407,0.00156691,True,0.00156691
334,philosophy of perception,epistemology,718,646,0.00112761,0.00114187,0.00114187,True,0.00112761
335,hinduism,philosophy of religion,256,724,0.000137024,0.000122944,0.000137024,True,0.000137024
336,cognitive science,psychiatry,892,906,0.000553981,0.000537407,0.000553981,True,0.000553981
337,causal theories of mental content,cognitive science,1699,892,,,,False,
338,philosophy of chemistry,philosophy of biology,861,704,0.000318031,0.000314515,0.000318031,True,0.000318031
339,propositional attitude,perception,944,2078,0.00023289,0.000223973,0.00023289,True,0.00023289
340,political authority,philosophy of religion,1022,724,0.000201458,0.000191705,0.000201458,True,0.000201458
341,influence of islamic thought on maimonides,philosophy of religion,1254,724,2.70582e-05,2.63636e-05,2.70582e-05,True,2.70582e-05
342,kant's view of the mind and consciousness of self,perception,1058,2078,5.06772e-07,5.02144e-07,5.06772e-07,True,5.06772e-07
343,coherentism,epistemology,115,646,0.000318179,0.000294284,0.000318179,True,0.000318179
344,internalist vs. externalist conceptions of epistemic justification,justification,1320,2068,0.000325169,0.00031237,0.000325169,True,0.000325169
345,externalism about mental content,internalism and externalism,1275,2163,0.000351628,0.000348695,0.000351628,True,0.000351628
346,secularism,philosophy of religion,515,724,0.000134634,0.000118188,0.000134634,True,0.000134634
347,mental content,philosophy of mind,925,715,0.000235742,0.000216593,0.000235742,True,0.000235742
348,animal cognition,philosophy of mind,812,715,7.22758e-05,6.87458e-05,7.22758e-05,True,7.22758e-05
349,metaphysics of mind,philosophy of mind,897,715,0.000142556,0.000105232,0.000142556,True,0.000142556
350,aspects of mind,philosophy of mind,1784,715,4.75186e-05,3.5071e-05,4.75186e-05,True,4.75186e-05
351,non-conceptual content,mental content,873,925,,,,False,
352,folk psychology as mental simulation,folk psychology,997,891,1.02361e-05,1.02603e-05,1.02603e-05,True,1.02361e-05
353,18th century british aesthetics,perception,1721,2078,2.01968e-05,1.98034e-05,2.01968e-05,True,2.01968e-05
354,business ethics,bioethics,760,621,8.03503e-06,8.04552e-06,8.04552e-06,True,8.03503e-06
355,aesthetics and philosophy of art,18th century german aesthetics,1788,1856,0.000832665,0.000860366,0.000860366,True,0.000832665
356,ideas,philosophy of mind,1641,715,0.00384845,0.00400979,0.00400979,True,0.00384845
357,methodological debates in cosmology the 1930s and 1940s,philosophy of science and the sciences,1304,1826,8.84536e-05,7.73509e-05,8.84536e-05,True,8.84536e-05
358,compositionality and logical form,metaphysics,1825,681,0.000314384,0.000305149,0.000314384,True,0.000314384
359,leibniz's influence on kant,perception,1060,2078,3.78598e-05,3.69857e-05,3.78598e-05,True,3.78598e-05
360,mohist canons,chinese philosophy,1693,624,3.28507e-05,3.2996e-05,3.2996e-05,True,3.28507e-05
361,dewey's aesthetics,perception,1703,2078,6.33374e-06,6.24484e-06,6.33374e-06,True,6.33374e-06
362,consciousness,perception,923,2078,0.00127199,0.00126437,0.00127199,True,0.00127199
363,philosophy of psychology,epistemology,720,646,0.00100641,0.00100504,0.00100641,True,0.00100641
364,logos,metaphysics,1612,681,5.65801e-05,5.38408e-05,5.65801e-05,True,5.65801e-05
365,turing machine,artificial intelligence,1002,890,8.23309e-05,8.21959e-05,8.23309e-05,True,8.23309e-05
366,philosophy of language,interpretation,712,845,0.0028619,0.00290177,0.00290177,True,0.0028619
367,dynamical system,cognitive science,938,892,7.89855e-05,7.80774e-05,7.89855e-05,True,7.89855e-05
368,church and state,philosophy of religion,1950,724,0.000171328,0.000152689,0.000171328,True,0.000171328
369,bohmian mechanics,quantum mechanics,1239,1158,0.000312531,0.000308784,0.000312531,True,0.000312531
370,philosophy of art,philosophy of mind,702,715,0.000967398,0.000942723,0.000967398,True,0.000967398
371,african sage philosophy,afterlife,1662,1581,,,,False,
372,philosophy of art,ethics and art,702,916,0.000107522,0.000137761,0.000137761,True,0.000107522
373,modern philosophy,philosophy of religion,899,724,0.000251346,0.000234848,0.000251346,True,0.000251346
374,imagery,philosophy of mind,1900,715,0.000248695,0.000234068,0.000248695,True,0.000248695
375,zen buddhism,philosophy of religion,759,724,3.06173e-05,2.81998e-05,3.06173e-05,True,3.06173e-05
376,kant's philosophy of religion,philosophy of religion,1056,724,0.000290725,0.000274241,0.000290725,True,0.000290725
377,network model,cognitive science,952,892,7.08336e-05,6.94824e-05,7.08336e-05,True,7.08336e-05
378,square of opposition,history of logic,1606,917,,,,False,
379,falsificationism,epistemology,649,646,6.17241e-05,5.82097e-05,6.17241e-05,True,6.17241e-05
380,dynamism,japanese philosophy,171,671,3.34601e-05,3.31743e-05,3.34601e-05,True,3.34601e-05
381,cosmology,metaphysics,1831,681,0.000589197,0.000567073,0.000589197,True,0.000589197
382,autism,folk psychology,57,891,5.39517e-05,5.32946e-05,5.39517e-05,True,5.39517e-05
383,kant's view of the mind and consciousness of self,philosophy of mind,1058,715,0.00019826,0.000185583,0.00019826,True,0.00019826
384,nonhuman animals,philosophy of mind,963,715,0.000168493,0.000151739,0.000168493,True,0.000168493
385,philosophy of language,language learning,712,805,0.000354008,0.000478258,0.000478258,True,0.000354008
386,pakistani philosophy,perception,693,2078,,,,False,
387,property dualism,dualism,734,168,0.000461742,0.000386603,0.000461742,True,0.000461742
388,analysis of knowledge,knowledge,1117,2075,0.000803322,0.000697856,0.000803322,True,0.000803322
389,plato's middle period metaphysics and epistemology,epistemology,1368,646,1.83286e-05,1.81457e-05,1.83286e-05,True,1.83286e-05
390,causal determinism,free will,1266,992,0.000165285,0.000163041,0.000165285,True,0.000165285
391,leibniz's influence on kant,metaphysics,1060,681,5.13515e-05,5.02659e-05,5.13515e-05,True,5.13515e-05
392,conservation biology,philosophy of biology,1277,704,0.000389922,0.000381959,0.000389922,True,0.000389922
393,platonism,metaphysics,443,681,0.000423635,0.000407967,0.000423635,True,0.000423635
394,metaphysics of science,epistemology,1828,646,0.000124583,0.000119905,0.000124583,True,0.000124583
395,afterlife,philosophy of religion,1581,724,0.000271329,0.000260004,0.000271329,True,0.000271329
396,social epistemology,epistemology,1144,646,0.000838644,0.000795174,0.000838644,True,0.000838644
397,reliabilism,perception,486,2078,1.78013e-05,1.75015e-05,1.78013e-05,True,1.78013e-05
398,evolutionary psychology,philosophy of mind,1833,715,4.95433e-05,4.744e-05,4.95433e-05,True,4.95433e-05
399,interactionism,philosophy of mind,815,715,6.02774e-05,5.39424e-05,6.02774e-05,True,6.02774e-05
400,computation and representation,cognitive science,936,892,6.63313e-05,6.29352e-05,6.63313e-05,True,6.63313e-05
401,hypothetical syllogism,history of logic,2034,917,2.66213e-05,2.66805e-05,2.66805e-05,True,2.66213e-05
402,current philosophy,perception,862,2078,1.56614e-05,1.49243e-05,1.56614e-05,True,1.56614e-05
403,hobbes's moral and political philosophy,social and political philosophy,1387,1787,9.73166e-06,9.69182e-06,9.73166e-06,True,9.73166e-06
404,magnetism,perception,324,2078,6.42048e-05,6.06988e-05,6.42048e-05,True,6.42048e-05
405,mental causation,philosophy of mind,1240,715,5.73837e-05,5.5047e-05,5.73837e-05,True,5.73837e-05
406,ethnophilosophy,african and african-american philosophy,762,1652,6.27468e-05,6.20668e-05,6.27468e-05,True,6.27468e-05
407,general relativity,epistemology,1921,646,6.00512e-05,5.89793e-05,6.00512e-05,True,6.00512e-05
408,induction,philosophy of mind,662,715,0.000474939,0.000450567,0.000474939,True,0.000474939
409,epistemology of religion,philosophy of religion,1026,724,0.000233958,0.000217582,0.000233958,True,0.000233958
410,mental imagery,philosophy of mind,1223,715,2.26045e-05,2.18129e-05,2.26045e-05,True,2.26045e-05
411,baptism,epistemology,65,646,8.18091e-05,7.81595e-05,8.18091e-05,True,8.18091e-05
412,probabilistic causation,causation,1081,969,0.000384354,0.000372487,0.000384354,True,0.000384354
413,measurement in quantum theory,perception,1190,2078,,,,False,
414,interpretation,metaphysics,845,681,0.00211956,0.00217958,0.00217958,True,0.00211956
415,scottish philosophy in the 19th century,perception,1713,2078,5.33466e-05,5.19052e-05,5.33466e-05,True,5.33466e-05
416,philosophy of chemistry,philosophy of science and the sciences,861,1826,0.00129842,0.00106677,0.00129842,True,0.00129842
417,goodness,metaphysics,869,681,0.000820264,0.000803172,0.000820264,True,0.000820264
418,concepts,mental content,1734,925,0.000137686,0.000150544,0.000150544,True,0.000137686
419,philosophy of language,language and society,712,804,0.000106133,0.000143478,0.000143478,True,0.000106133
420,philosophy of social science,epistemology,919,646,0.000405857,0.000393837,0.000405857,True,0.000405857
421,representationalism,perception,772,2078,0.0001374,0.000130615,0.0001374,True,0.0001374
422,secular humanism,philosophy of religion,743,724,,,,False,
423,philosophy of nature,philosophy of mind,716,715,0.000141747,0.000126994,0.000141747,True,0.000141747
424,philosophy of chemistry,metaphysics,861,681,0.000214537,0.000210216,0.000214537,True,0.000214537
425,african philosophy,african and african-american philosophy,615,1652,0.000396586,0.000407799,0.000407799,True,0.000396586
426,japanese aesthetics,japanese philosophy,1698,671,2.4597e-05,2.45129e-05,2.4597e-05,True,2.4597e-05
427,ancient logic,history of logic,1624,917,1.84482e-05,1.85875e-05,1.85875e-05,True,1.84482e-05
428,pietism,philosophy of religion,439,724,4.24344e-05,3.91369e-05,4.24344e-05,True,4.24344e-05
429,ontological argument,philosophy of religion,1073,724,9.77906e-05,9.47543e-05,9.77906e-05,True,9.77906e-05
430,eliminative materialism,folk psychology,641,891,0.000346759,0.000351845,0.000351845,True,0.000346759
431,externalism,perception,201,2078,0.000151403,0.000145988,0.000151403,True,0.000151403
432,experiment in physics,epistemology,1358,646,1.94513e-05,1.92372e-05,1.94513e-05,True,1.94513e-05
433,existence of god,metaphysics,1905,681,0.000445878,0.000425322,0.000445878,True,0.000445878
434,philosophy of computer science,philosophy of science and the sciences,903,1826,0.00090856,0.00074948,0.00090856,True,0.00090856
435,ethics,utilitarianism,647,594,0.000543613,0.00056212,0.00056212,True,0.000543613
436,scientific realism,scientific methodology,1202,1830,7.79671e-05,7.80318e-05,7.80318e-05,True,7.79671e-05
437,philosophy of science,metaphysics,722,681,0.00233065,0.00244398,0.00244398,True,0.00233065
438,introspection,epistemology,2076,646,0.000256579,0.000252102,0.000256579,True,0.000256579
439,philosophy of computer science,logic and language,903,941,0.000156175,0.000157402,0.000157402,True,0.000156175
440,medieval theories of the categories,metaphysics,1760,681,2.04317e-05,2.01088e-05,2.04317e-05,True,2.04317e-05
441,locke's political philosophy,philosophy of religion,1763,724,2.95887e-05,2.88433e-05,2.95887e-05,True,2.95887e-05
442,kant's view of the mind and consciousness of self,consciousness,1058,923,0.00050601,0.000479787,0.00050601,True,0.00050601
443,philosophy of physics,metaphysics,719,681,0.00181872,0.00180407,0.00181872,True,0.00181872
444,identity theory of mind,perception,818,2078,1.58275e-05,1.55227e-05,1.58275e-05,True,1.58275e-05
445,vitalism,metaphysics,757,681,8.37178e-05,7.9518e-05,8.37178e-05,True,8.37178e-05
446,realism,philosophy of mind,480,715,0.00100268,0.000958254,0.00100268,True,0.00100268
447,imagery,perception,1900,2078,0.000310002,0.000298528,0.000310002,True,0.000310002
448,self-consciousness,aspects of consciousness,1299,1785,,,,False,
449,aristotle's psychology,philosophy of mind,1008,715,7.93144e-05,7.492e-05,7.93144e-05,True,7.93144e-05
450,folk psychology as a theory,philosophy of mind,996,715,6.60539e-05,6.28659e-05,6.60539e-05,True,6.60539e-05
451,modularity of mind,philosophy of mind,1705,715,3.55399e-05,3.39776e-05,3.55399e-05,True,3.55399e-05
452,language of thought hypothesis,philosophy of language,882,712,0.00031437,0.000295009,0.00031437,True,0.00031437
453,probability and statistics,scientific methodology,939,1830,0.000101596,0.000104749,0.000104749,True,0.000101596
454,externalism about mental content,mental content,1275,925,0.000113779,0.000114077,0.000114077,True,0.000113779
455,descartes' epistemology,perception,1284,2078,0.000132331,0.000129141,0.000132331,True,0.000132331
456,mereology,metaphysics,1221,681,0.000117916,0.000115589,0.000117916,True,0.000117916
457,turing test,artificial intelligence,990,890,6.18016e-05,6.15902e-05,6.18016e-05,True,6.18016e-05
458,universals,philosophy of mind,1483,715,0.00263246,0.00256155,0.00263246,True,0.00263246
459,consciousness and content,philosophy of mind,924,715,0.00011572,0.000102671,0.00011572,True,0.00011572
460,zeno's paradoxes,philosophy of mathematics,1313,714,,,,False,
461,chinese ethics,chinese philosophy,1694,624,4.39714e-05,4.43087e-05,4.43087e-05,True,4.39714e-05
462,matter,philosophy of mind,1497,715,0.00358827,0.00361154,0.00361154,True,0.00358827
463,epistemological problems of perception,epistemology,1361,646,1.18911e-05,1.17662e-05,1.18911e-05,True,1.18911e-05
464,knowledge by acquaintance and knowledge by description,epistemology,1118,646,1.83135e-05,1.67847e-05,1.83135e-05,True,1.83135e-05
465,unity of science,philosophy of science and the sciences,983,1826,0.000431086,0.000369647,0.000431086,True,0.000431086
466,eternity of the world,metaphysics,1892,681,0.000103037,9.78851e-05,0.000103037,True,0.000103037
467,consciousness and mental content,mental content,961,925,,,,False,
468,taoism,philosophy of religion,559,724,0.000170161,0.000161941,0.000170161,True,0.000170161
469,personal identity and ethics,bioethics,1598,621,6.97277e-06,6.98521e-06,6.98521e-06,True,6.97277e-06
470,ancient theories of soul,philosophy of mind,1327,715,1.51338e-05,1.46008e-05,1.51338e-05,True,1.51338e-05
471,atheism,philosophy of religion,50,724,0.000511212,0.000477121,0.000511212,True,0.000511212
472,cartesian dualism,perception,98,2078,0.000102076,9.2779e-05,0.000102076,True,0.000102076
473,aristotelianism,metaphysics,48,681,0.000342785,0.000322722,0.000342785,True,0.000342785
474,religion and morality,ethics,1576,647,9.25469e-05,9.07224e-05,9.25469e-05,True,9.25469e-05
475,satanism,philosophy of religion,506,724,,,,False,
476,teleosemantics,perception,1987,2078,2.83075e-05,2.73215e-05,2.83075e-05,True,2.83075e-05
477,internalism and externalism,perception,2163,2078,0.000153331,0.000149073,0.000153331,True,0.000153331
478,hilbert's program,philosophy of science and the sciences,1356,1826,9.08119e-05,7.89088e-05,9.08119e-05,True,9.08119e-05
479,pragmatic arguments and belief in god,philosophy of religion,1850,724,2.85299e-05,2.78413e-05,2.85299e-05,True,2.85299e-05
480,continental feminism,continental philosophy,1120,631,7.25153e-05,7.33735e-05,7.33735e-05,True,7.25153e-05
481,logos,epistemology,1612,646,5.20421e-05,4.98925e-05,5.20421e-05,True,5.20421e-05
482,artificial intelligence,computation,890,937,0.000183273,0.000182754,0.000183273,True,0.000183273
483,classical physics,philosophy of science and the sciences,931,1826,0.000689334,0.000449793,0.000689334,True,0.000689334
484,feminist metaphysics,metaphysics,1863,681,0.000238958,0.000230821,0.000238958,True,0.000238958
485,zen buddhism,japanese philosophy,759,671,2.07892e-05,2.04242e-05,2.07892e-05,True,2.07892e-05
486,social philosophy,social and political philosophy,746,1787,0.000857024,0.000784131,0.000857024,True,0.000857024
487,private language argument,philosophy of language,1941,712,0.000181738,0.000134445,0.000181738,True,0.000181738
488,implicature,pragmatics,1380,807,0.000537394,0.000523654,0.000537394,True,0.000537394
489,axiomatic theories of truth,philosophy of language,1452,712,9.29168e-05,8.76954e-05,9.29168e-05,True,9.29168e-05
490,natural law tradition,philosophy of religion,1597,724,6.60836e-05,6.10257e-05,6.60836e-05,True,6.60836e-05
491,bayes's theorem,philosophy of science and the sciences,1728,1826,,,,False,
492,biological altruism,philosophy of biology,1330,704,1.33334e-05,1.32206e-05,1.33334e-05,True,1.33334e-05
493,temporal logic,artificial intelligence,1294,890,1.95933e-06,1.9585e-06,1.95933e-06,True,1.95933e-06
494,metaphysics and language,philosophy of language,2066,712,0.000172173,0.000127367,0.000172173,True,0.000172173
495,medieval theories of practical reason,ethics,1070,647,3.38964e-05,3.31705e-05,3.38964e-05,True,3.38964e-05
496,indispensability arguments in the philosophy of mathematics,philosophy of science and the sciences,1246,1826,0.000133763,0.000113901,0.000133763,True,0.000133763
497,metaphysics of causation,metaphysics,1082,681,7.40791e-05,7.24826e-05,7.40791e-05,True,7.40791e-05
498,activation value,artificial intelligence,955,890,4.27302e-05,4.14719e-05,4.27302e-05,True,4.27302e-05
499,trait,developmental biology,1938,1832,3.91851e-05,3.95669e-05,3.95669e-05,True,3.91851e-05
500,doctrine of double effect,bioethics,1258,621,,,,False,
501,philosophy of chemistry,philosophy of physics,861,719,0.000485164,0.000474314,0.000485164,True,0.000485164
502,plato's middle period metaphysics and epistemology,metaphysics,1368,681,1.07855e-05,1.06646e-05,1.07855e-05,True,1.07855e-05
503,thermodynamic asymmetry in time,statistical mechanics and thermodynamics,1066,967,0.000598043,0.000594547,0.000598043,True,0.000598043
504,interpretation,quantum mechanics,845,1158,0.000706531,0.000748545,0.000748545,True,0.000706531
505,approaches to feminist philosophy,continental philosophy,1045,631,0.000106842,0.000110542,0.000110542,True,0.000106842
506,life,philosophy of religion,1764,724,0.00213161,0.00218954,0.00218954,True,0.00213161
507,contents of perception,mental content,874,925,2.81537e-05,2.82582e-05,2.82582e-05,True,2.81537e-05
508,mental representation,perception,1222,2078,0.000233821,0.000226431,0.000233821,True,0.000233821
509,goodness and value theory,metaphysics,653,681,,,,False,
510,intentionality,philosophy of mind,1325,715,0.000552466,0.00052406,0.000552466,True,0.000552466
511,hard problem,perception,875,2078,0.000123288,0.000114607,0.000123288,True,0.000123288
512,concepts,perception,1734,2078,0.00134395,0.00140708,0.00140708,True,0.00134395
513,proper names,philosophy of mind,2019,715,0.000259659,0.000244007,0.000259659,True,0.000259659
514,folk psychology,philosophy of science and the sciences,891,1826,0.00083266,0.00054342,0.00083266,True,0.00083266
515,computation and representation,philosophy of mind,936,715,3.79942e-05,3.31135e-05,3.79942e-05,True,3.79942e-05
516,mental representation,philosophy of mind,1222,715,0.000264719,0.000249347,0.000264719,True,0.000264719
517,process philosophy,metaphysics,733,681,0.000235747,0.000227602,0.000235747,True,0.000235747
518,philosophy of mathematics,metaphysics,714,681,0.00015459,0.000151678,0.00015459,True,0.00015459
519,epistemology of religion,epistemology,1026,646,0.0001377,0.000132891,0.0001377,True,0.0001377
520,ancient philosophy (aristotle),metaphysics,1846,681,,,,False,
521,philosophy of chemistry,philosophy of mind,861,715,0.000158205,0.000151356,0.000158205,True,0.000158205
522,abstract object,philosophy of mind,846,715,0.000195043,0.000186364,0.000195043,True,0.000195043
523,japanese zen buddhist philosophy,japanese philosophy,1696,671,,,,False,
524,philosophy of psychology,perception,720,2078,0.0012485,0.0012305,0.0012485,True,0.0012485
525,feminist philosophy,epistemology,920,646,0.000163514,0.000159167,0.000163514,True,0.000163514
526,aristotle on causality,metaphysics,1725,681,,,,False,
527,inductive logic,history of logic,912,917,1.71009e-05,1.72441e-05,1.72441e-05,True,1.71009e-05
528,psychiatry,philosophy of mind,906,715,0.00175052,0.00166419,0.00175052,True,0.00175052
529,epistemological problems of memory,philosophy of mind,1241,715,1.4653e-05,1.44311e-05,1.4653e-05,True,1.4653e-05
530,medieval political philosophy,philosophy of religion,1700,724,2.10501e-05,2.06162e-05,2.10501e-05,True,2.10501e-05
531,law and language,philosophy of language,1168,712,0.000697259,0.0006328,0.000697259,True,0.000697259
532,problem of perception,perception,872,2078,0.000350562,0.0003344,0.000350562,True,0.000350562
533,philosophy of biology,philosophy of mind,704,715,0.000348072,0.000334783,0.000348072,True,0.000348072
534,scottish philosophy in the 19th century,metaphysics,1713,681,3.45324e-05,3.38533e-05,3.45324e-05,True,3.45324e-05
535,social and political philosophy,metaphysics,1787,681,0.000284745,0.000276941,0.000284745,True,0.000284745
536,intersections between pragmatist and continental feminism,continental philosophy,1048,631,0.000116497,0.000118538,0.000118538,True,0.000116497
537,ethics,virtues and vices,647,1879,0.00321305,0.00311408,0.00321305,True,0.00321305
538,mathematical logic,philosophy of mind,914,715,0.000187987,0.000173967,0.000187987,True,0.000187987
539,Eternity in Christian Thought,metaphysics,1580,681,0.000444306,0.0004333,0.000444306,True,0.000444306
540,logic and games,history of logic,1193,917,,,,False,
541,realism and anti-realism,philosophy of mind,978,715,0.00105332,0.000999767,0.00105332,True,0.00105332
542,falsificationism,scientific methodology,649,1830,5.97017e-05,5.84472e-05,5.97017e-05,True,5.97017e-05
543,psychological relation,perception,886,2078,1.98593e-05,1.89837e-05,1.98593e-05,True,1.98593e-05
544,probability,philosophy of science and the sciences,770,1826,0.0217072,0.0167074,0.0217072,True,0.0217072
545,social contract,ethics,1388,647,0.00025527,0.00024663,0.00025527,True,0.00025527
546,philosophy of biology,epistemology,704,646,0.000318663,0.000316255,0.000318663,True,0.000318663
547,identity of indiscernibles,metaphysics,1351,681,9.76746e-05,9.39485e-05,9.76746e-05,True,9.76746e-05
548,backward causation,causation,1087,969,0.000584572,0.000564715,0.000584572,True,0.000584572
549,aesthetics and philosophy of art,philosophy of composition,1788,707,0.000187664,0.000190375,0.000190375,True,0.000187664
550,scientific methodology,epistemology,1830,646,0.000355193,0.000342772,0.000355193,True,0.000355193
551,animal cognition,cognitive science,812,892,5.50265e-06,5.49484e-06,5.50265e-06,True,5.50265e-06
552,arguments for the existence of god,philosophy of religion,1559,724,8.94116e-05,8.19041e-05,8.94116e-05,True,8.94116e-05
553,identity and individuality in quantum theory,metaphysics,1191,681,1.30877e-05,1.29006e-05,1.30877e-05,True,1.30877e-05
554,mental state,philosophy of mind,964,715,0.00126198,0.0011925,0.00126198,True,0.00126198
555,philosophy of mathematics,philosophy of science,714,722,0.000259782,0.000245895,0.000259782,True,0.000259782
556,monotheism,philosophy of religion,360,724,0.000111611,0.000107502,0.000111611,True,0.000111611
557,logic and language,philosophy of mind,941,715,0.000191869,0.000178675,0.000191869,True,0.000191869
558,chinese room argument,philosophy of mind,1137,715,0.00014426,0.000137395,0.00014426,True,0.00014426
559,neutral monism,philosophy of mind,689,715,4.69577e-05,4.51254e-05,4.69577e-05,True,4.69577e-05
560,phenomenological approaches to self-consciousness,consciousness,1298,923,0.000122687,0.000118507,0.000122687,True,0.000122687
561,omniscience,philosophy of religion,1577,724,0.000104008,0.000100393,0.000104008,True,0.000104008
562,episteme and techne,metaphysics,1608,681,1.85473e-07,1.84119e-07,1.85473e-07,True,1.85473e-07
563,aristotle and mathematics,philosophy of mathematics,1010,714,1.64864e-05,1.64252e-05,1.64864e-05,True,1.64864e-05
564,philosophy of computer science,logic,903,674,0.000416172,0.000387657,0.000416172,True,0.000416172
565,thinking machine,turing test,894,990,0.000146405,0.000139002,0.000146405,True,0.000146405
566,mental representation in medieval philosophy,philosophy of mind,1040,715,2.92328e-05,2.78138e-05,2.92328e-05,True,2.92328e-05
567,philosophy of nature,epistemology,716,646,3.39402e-05,3.30327e-05,3.39402e-05,True,3.39402e-05
568,religion and morality,philosophy of religion,1576,724,0.000294557,0.000281547,0.000294557,True,0.000294557
569,private language,philosophy of language,1097,712,0.000485177,0.00043723,0.000485177,True,0.000485177
570,indeterminism,epistemology,973,646,5.01132e-05,4.90139e-05,5.01132e-05,True,5.01132e-05
571,evolutionary psychology,philosophy of religion,1833,724,1.81335e-07,1.78578e-07,1.81335e-07,True,1.81335e-07
572,philosophy of perception,philosophy of mind,718,715,0.0022651,0.00219041,0.0022651,True,0.0022651
573,philosophy of mathematics,algebra,714,1421,6.27959e-05,6.26829e-05,6.27959e-05,True,6.27959e-05
574,philosophy of biology,metaphysics,704,681,0.000312035,0.000308524,0.000312035,True,0.000312035
575,eternity of the world,afterlife,1892,1581,7.64677e-05,7.53348e-05,7.64677e-05,True,7.64677e-05
576,modern history of computing,artificial intelligence,1234,890,,,,False,
577,ambiguity,epistemology,1883,646,0.000351528,0.000346688,0.000351528,True,0.000351528
578,frame problem,artificial intelligence,831,890,2.29082e-05,2.27673e-05,2.29082e-05,True,2.29082e-05
579,consciousness and content,perception,924,2078,0.000112203,0.000103956,0.000112203,True,0.000112203
