key,idea_a,idea_b,id_a,id_b,has_ids,edge_i_to_j,edge_j_to_i,edge_any
"('18thcenturybritishaesthetics', 'philosophyofmind')",18th century british aesthetics,philosophy of mind,1721,715,True,True,True,True
"('metaphysics', 'propernames')",proper names,metaphysics,2019,681,True,True,True,True
"('panpsychism', 'philosophyofmind')",panpsychism,philosophy of mind,695,715,True,True,True,True
"('philosophyofreligion', 'religionandpolitics')",religion and politics,philosophy of religion,1558,724,True,True,True,True
"('18thcenturygermanaesthetics', 'perception')",18th century german aesthetics,perception,1856,2078,True,True,True,True
"('knowledge', 'platoonknowledgeinthetheaetetus')",plato on knowledge in the theaetetus,knowledge,1366,2075,True,True,True,True
"('appliedethics', 'bioethics')",bioethics,applied ethics,621,619,True,True,True,True
"('gettierproblem', 'perception')",gettier problem,perception,1550,2078,True,True,True,True
"('chinesephilosophy', 'mohism')",mohism,chinese philosophy,352,624,True,True,True,True
"('artificialintelligence', 'computationandrepresentation')",computation and representation,artificial intelligence,936,890,True,True,True,True
"('epistemologicalproblemsofmemory', 'epistemology')",epistemological problems of memory,epistemology,1241,646,True,True,True,True
"('mentalcontent', 'teleologicaltheoriesofmentalcontent')",teleological theories of mental content,mental content,1272,925,True,True,True,True
"('confirmationandinduction', 'epistemology')",confirmation and induction,epistemology,1804,646,True,True,True,True
"('islamicphilosophy', 'philosophyofreligion')",islamic philosophy,philosophy of religion,670,724,True,True,True,True
"('boltzmannsworkinstatisticalphysics', 'philosophyofscienceandthesciences')",boltzmann's work in statistical physics,philosophy of science and the sciences,1156,1826,True,True,True,True
"('formsofgovernment', 'philosophyofreligion')",forms of government,philosophy of religion,1794,724,True,True,True,True
"('logicalform', 'philosophyoflanguage')",philosophy of language,logical form,712,934,True,True,True,True
"('philosophyofreligion', 'religiouslanguage')",religious language,philosophy of religion,1573,724,True,True,True,True
"('perception', 'philosophyofmind')",perception,philosophy of mind,2078,715,True,True,True,True
"('philosophyofmind', 'propositionalattitude')",propositional attitude,philosophy of mind,944,715,True,True,True,True
"('neuralcorrelates', 'perception')",neural correlates,perception,879,2078,True,True,True,True
"('descartesandthepinealgland', 'perception')",descartes and the pineal gland,perception,1371,2078,True,True,True,True
"('literature', 'philosophyofscienceandthesciences')",literature,philosophy of science and the sciences,1898,1826,True,True,True,True
"('perception', 'surrealism')",surrealism,perception,552,2078,True,True,True,True
"('philosophyofreligion', 'toleration')",toleration,philosophy of religion,1995,724,True,True,True,True
"('metaphysics', 'philosophyofmind')",philosophy of mind,metaphysics,715,681,True,True,True,True
"('aspectsofconsciousness', 'functionofconsciousness')",function of consciousness,aspects of consciousness,878,1785,True,False,False,False
"('earlyphilosophicalinterpretationsofgeneralrelativity', 'epistemology')",early philosophical interpretations of general relativity,epistemology,1335,646,True,True,True,True
"('medievaltheoriesofanalogy', 'metaphysics')",medieval theories of analogy,metaphysics,1329,681,True,True,True,True
"('metaphysics', 'platoonutopia')",plato on utopia,metaphysics,1365,681,True,True,True,True
"('continentalphilosophy', 'pragmatism')",continental philosophy,pragmatism,631,461,True,True,True,True
"('artificialintelligence', 'symbolicprocessing')",symbolic processing,artificial intelligence,954,890,True,True,True,True
"('aristotlesnaturalphilosophy', 'metaphysics')",aristotle's natural philosophy,metaphysics,1855,681,True,True,True,True
"('consciousnessandintentionality', 'perception')",consciousness and intentionality,perception,1227,2078,True,True,True,True
"('metaphysics', 'philosophyofpsychology')",philosophy of psychology,metaphysics,720,681,True,True,True,True
"('epistemology', 'philosophyofperception')",philosophy of perception,epistemology,718,646,True,True,True,True
"('hinduism', 'philosophyofreligion')",hinduism,philosophy of religion,256,724,True,True,True,True
"('cognitivescience', 'psychiatry')",cognitive science,psychiatry,892,906,True,True,True,True
"('causaltheoriesofmentalcontent', 'cognitivescience')",causal theories of mental content,cognitive science,1699,892,True,False,False,False
"('philosophyofbiology', 'philosophyofchemistry')",philosophy of chemistry,philosophy of biology,861,704,True,True,True,True
"('perception', 'propositionalattitude')",propositional attitude,perception,944,2078,True,True,True,True
"('philosophyofreligion', 'politicalauthority')",political authority,philosophy of religion,1022,724,True,True,True,True
"('influenceofislamicthoughtonmaimonides', 'philosophyofreligion')",influence of islamic thought on maimonides,philosophy of religion,1254,724,True,True,True,True
"('kantsviewofthemindandconsciousnessofself', 'perception')",kant's view of the mind and consciousness of self,perception,1058,2078,True,True,True,True
"('coherentism', 'epistemology')",coherentism,epistemology,115,646,True,True,True,True
"('internalistvsexternalistconceptionsofepistemicjustification', 'justification')",internalist vs. externalist conceptions of epistemic justification,justification,1320,2068,True,True,True,True
"('externalismaboutmentalcontent', 'internalismandexternalism')",externalism about mental content,internalism and externalism,1275,2163,True,True,True,True
"('philosophyofreligion', 'secularism')",secularism,philosophy of religion,515,724,True,True,True,True
"('mentalcontent', 'philosophyofmind')",mental content,philosophy of mind,925,715,True,True,True,True
"('animalcognition', 'philosophyofmind')",animal cognition,philosophy of mind,812,715,True,True,True,True
"('metaphysicsofmind', 'philosophyofmind')",metaphysics of mind,philosophy of mind,897,715,True,True,True,True
"('aspectsofmind', 'philosophyofmind')",aspects of mind,philosophy of mind,1784,715,True,True,True,True
"('mentalcontent', 'nonconceptualcontent')",non-conceptual content,mental content,873,925,True,False,False,False
"('folkpsychology', 'folkpsychologyasmentalsimulation')",folk psychology as mental simulation,folk psychology,997,891,True,True,True,True
"('18thcenturybritishaesthetics', 'perception')",18th century british aesthetics,perception,1721,2078,True,True,True,True
"('bioethics', 'businessethics')",business ethics,bioethics,760,621,True,True,True,True
"('18thcenturygermanaesthetics', 'aestheticsandphilosophyofart')",aesthetics and philosophy of art,18th century german aesthetics,1788,1856,True,True,True,True
"('ideas', 'philosophyofmind')",ideas,philosophy of mind,1641,715,True,True,True,True
"('methodologicaldebatesincosmologythe1930sand1940s', 'philosophyofscienceandthesciences')",methodological debates in cosmology the 1930s and 1940s,philosophy of science and the sciences,1304,1826,True,True,True,True
"('compositionalityandlogicalform', 'metaphysics')",compositionality and logical form,metaphysics,1825,681,True,True,True,True
"('leibnizsinfluenceonkant', 'perception')",leibniz's influence on kant,perception,1060,2078,True,True,True,True
"('chinesephilosophy', 'mohistcanons')",mohist canons,chinese philosophy,1693,624,True,True,True,True
"('deweysaesthetics', 'perception')",dewey's aesthetics,perception,1703,2078,True,True,True,True
"('consciousness', 'perception')",consciousness,perception,923,2078,True,True,True,True
"('epistemology', 'philosophyofpsychology')",philosophy of psychology,epistemology,720,646,True,True,True,True
"('logos', 'metaphysics')",logos,metaphysics,1612,681,True,True,True,True
"('artificialintelligence', 'turingmachine')",turing machine,artificial intelligence,1002,890,True,True,True,True
"('interpretation', 'philosophyoflanguage')",philosophy of language,interpretation,712,845,True,True,True,True
"('cognitivescience', 'dynamicalsystem')",dynamical system,cognitive science,938,892,True,True,True,True
"('churchandstate', 'philosophyofreligion')",church and state,philosophy of religion,1950,724,True,True,True,True
"('bohmianmechanics', 'quantummechanics')",bohmian mechanics,quantum mechanics,1239,1158,True,True,True,True
"('philosophyofart', 'philosophyofmind')",philosophy of art,philosophy of mind,702,715,True,True,True,True
"('africansagephilosophy', 'afterlife')",african sage philosophy,afterlife,1662,1581,True,False,False,False
"('ethicsandart', 'philosophyofart')",philosophy of art,ethics and art,702,916,True,True,True,True
"('modernphilosophy', 'philosophyofreligion')",modern philosophy,philosophy of religion,899,724,True,True,True,True
"('imagery', 'philosophyofmind')",imagery,philosophy of mind,1900,715,True,True,True,True
"('philosophyofreligion', 'zenbuddhism')",zen buddhism,philosophy of religion,759,724,True,True,True,True
"('kantsphilosophyofreligion', 'philosophyofreligion')",kant's philosophy of religion,philosophy of religion,1056,724,True,True,True,True
"('cognitivescience', 'networkmodel')",network model,cognitive science,952,892,True,True,True,True
"('historyoflogic', 'squareofopposition')",square of opposition,history of logic,1606,917,True,False,False,False
"('epistemology', 'falsificationism')",falsificationism,epistemology,649,646,True,True,True,True
"('dynamism', 'japanesephilosophy')",dynamism,japanese philosophy,171,671,True,True,True,True
"('cosmology', 'metaphysics')",cosmology,metaphysics,1831,681,True,True,True,True
"('autism', 'folkpsychology')",autism,folk psychology,57,891,True,True,True,True
"('kantsviewofthemindandconsciousnessofself', 'philosophyofmind')",kant's view of the mind and consciousness of self,philosophy of mind,1058,715,True,True,True,True
"('nonhumananimals', 'philosophyofmind')",nonhuman animals,philosophy of mind,963,715,True,True,True,True
"('languagelearning', 'philosophyoflanguage')",philosophy of language,language learning,712,805,True,True,True,True
"('pakistaniphilosophy', 'perception')",pakistani philosophy,perception,693,2078,True,False,False,False
"('dualism', 'propertydualism')",property dualism,dualism,734,168,True,True,True,True
"('analysisofknowledge', 'knowledge')",analysis of knowledge,knowledge,1117,2075,True,True,True,True
"('epistemology', 'platosmiddleperiodmetaphysicsandepistemology')",plato's middle period metaphysics and epistemology,epistemology,1368,646,True,True,True,True
"('causaldeterminism', 'freewill')",causal determinism,free will,1266,992,True,True,True,True
"('leibnizsinfluenceonkant', 'metaphysics')",leibniz's influence on kant,metaphysics,1060,681,True,True,True,True
"('conservationbiology', 'philosophyofbiology')",conservation biology,philosophy of biology,1277,704,True,True,True,True
"('metaphysics', 'platonism')",platonism,metaphysics,443,681,True,True,True,True
"('epistemology', 'metaphysicsofscience')",metaphysics of science,epistemology,1828,646,True,True,True,True
"('afterlife', 'philosophyofreligion')",afterlife,philosophy of religion,1581,724,True,True,True,True
"('epistemology', 'socialepistemology')",social epistemology,epistemology,1144,646,True,True,True,True
"('perception', 'reliabilism')",reliabilism,perception,486,2078,True,True,True,True
"('evolutionarypsychology', 'philosophyofmind')",evolutionary psychology,philosophy of mind,1833,715,True,True,True,True
"('interactionism', 'philosophyofmind')",interactionism,philosophy of mind,815,715,True,True,True,True
"('cognitivescience', 'computationandrepresentation')",computation and representation,cognitive science,936,892,True,True,True,True
"('historyoflogic', 'hypotheticalsyllogism')",hypothetical syllogism,history of logic,2034,917,True,True,True,True
"('currentphilosophy', 'perception')",current philosophy,perception,862,2078,True,True,True,True
"('hobbessmoralandpoliticalphilosophy', 'socialandpoliticalphilosophy')",hobbes's moral and political philosophy,social and political philosophy,1387,1787,True,True,True,True
"('magnetism', 'perception')",magnetism,perception,324,2078,True,True,True,True
"('mentalcausation', 'philosophyofmind')",mental causation,philosophy of mind,1240,715,True,True,True,True
"('africanandafricanamericanphilosophy', 'ethnophilosophy')",ethnophilosophy,african and african-american philosophy,762,1652,True,True,True,True
"('epistemology', 'generalrelativity')",general relativity,epistemology,1921,646,True,True,True,True
"('induction', 'philosophyofmind')",induction,philosophy of mind,662,715,True,True,True,True
"('epistemologyofreligion', 'philosophyofreligion')",epistemology of religion,philosophy of religion,1026,724,True,True,True,True
"('mentalimagery', 'philosophyofmind')",mental imagery,philosophy of mind,1223,715,True,True,True,True
"('baptism', 'epistemology')",baptism,epistemology,65,646,True,True,True,True
"('causation', 'probabilisticcausation')",probabilistic causation,causation,1081,969,True,True,True,True
"('measurementinquantumtheory', 'perception')",measurement in quantum theory,perception,1190,2078,True,False,False,False
"('interpretation', 'metaphysics')",interpretation,metaphysics,845,681,True,True,True,True
"('perception', 'scottishphilosophyinthe19thcentury')",scottish philosophy in the 19th century,perception,1713,2078,True,True,True,True
"('philosophyofchemistry', 'philosophyofscienceandthesciences')",philosophy of chemistry,philosophy of science and the sciences,861,1826,True,True,True,True
"('goodness', 'metaphysics')",goodness,metaphysics,869,681,True,True,True,True
"('concepts', 'mentalcontent')",concepts,mental content,1734,925,True,True,True,True
"('languageandsociety', 'philosophyoflanguage')",philosophy of language,language and society,712,804,True,True,True,True
"('epistemology', 'philosophyofsocialscience')",philosophy of social science,epistemology,919,646,True,True,True,True
"('perception', 'representationalism')",representationalism,perception,772,2078,True,True,True,True
"('philosophyofreligion', 'secularhumanism')",secular humanism,philosophy of religion,743,724,True,False,False,False
"('philosophyofmind', 'philosophyofnature')",philosophy of nature,philosophy of mind,716,715,True,True,True,True
"('metaphysics', 'philosophyofchemistry')",philosophy of chemistry,metaphysics,861,681,True,True,True,True
"('africanandafricanamericanphilosophy', 'africanphilosophy')",african philosophy,african and african-american philosophy,615,1652,True,True,True,True
"('japaneseaesthetics', 'japanesephilosophy')",japanese aesthetics,japanese philosophy,1698,671,True,True,True,True
"('ancientlogic', 'historyoflogic')",ancient logic,history of logic,1624,917,True,True,True,True
"('philosophyofreligion', 'pietism')",pietism,philosophy of religion,439,724,True,True,True,True
"('ontologicalargument', 'philosophyofreligion')",ontological argument,philosophy of religion,1073,724,True,True,True,True
"('eliminativematerialism', 'folkpsychology')",eliminative materialism,folk psychology,641,891,True,True,True,True
"('externalism', 'perception')",externalism,perception,201,2078,True,True,True,True
"('epistemology', 'experimentinphysics')",experiment in physics,epistemology,1358,646,True,True,True,True
"('existenceofgod', 'metaphysics')",existence of god,metaphysics,1905,681,True,True,True,True
"('philosophyofcomputerscience', 'philosophyofscienceandthesciences')",philosophy of computer science,philosophy of science and the sciences,903,1826,True,True,True,True
"('ethics', 'utilitarianism')",ethics,utilitarianism,647,594,True,True,True,True
"('scientificmethodology', 'scientificrealism')",scientific realism,scientific methodology,1202,1830,True,True,True,True
"('metaphysics', 'philosophyofscience')",philosophy of science,metaphysics,722,681,True,True,True,True
"('epistemology', 'introspection')",introspection,epistemology,2076,646,True,True,True,True
"('logicandlanguage', 'philosophyofcomputerscience')",philosophy of computer science,logic and language,903,941,True,True,True,True
"('medievaltheoriesofthecategories', 'metaphysics')",medieval theories of the categories,metaphysics,1760,681,True,True,True,True
"('lockespoliticalphilosophy', 'philosophyofreligion')",locke's political philosophy,philosophy of religion,1763,724,True,True,True,True
"('consciousness', 'kantsviewofthemindandconsciousnessofself')",kant's view of the mind and consciousness of self,consciousness,1058,923,True,True,True,True
"('metaphysics', 'philosophyofphysics')",philosophy of physics,metaphysics,719,681,True,True,True,True
"('identitytheoryofmind', 'perception')",identity theory of mind,perception,818,2078,True,True,True,True
"('metaphysics', 'vitalism')",vitalism,metaphysics,757,681,True,True,True,True
"('philosophyofmind', 'realism')",realism,philosophy of mind,480,715,True,True,True,True
"('imagery', 'perception')",imagery,perception,1900,2078,True,True,True,True
"('aspectsofconsciousness', 'selfconsciousness')",self-consciousness,aspects of consciousness,1299,1785,True,False,False,False
"('aristotlespsychology', 'philosophyofmind')",aristotle's psychology,philosophy of mind,1008,715,True,True,True,True
"('folkpsychologyasatheory', 'philosophyofmind')",folk psychology as a theory,philosophy of mind,996,715,True,True,True,True
"('modularityofmind', 'philosophyofmind')",modularity of mind,philosophy of mind,1705,715,True,True,True,True
"('languageofthoughthypothesis', 'philosophyoflanguage')",language of thought hypothesis,philosophy of language,882,712,True,True,True,True
"('probabilityandstatistics', 'scientificmethodology')",probability and statistics,scientific methodology,939,1830,True,True,True,True
"('externalismaboutmentalcontent', 'mentalcontent')",externalism about mental content,mental content,1275,925,True,True,True,True
"('descartesepistemology', 'perception')",descartes' epistemology,perception,1284,2078,True,True,True,True
"('mereology', 'metaphysics')",mereology,metaphysics,1221,681,True,True,True,True
"('artificialintelligence', 'turingtest')",turing test,artificial intelligence,990,890,True,True,True,True
"('philosophyofmind', 'universals')",universals,philosophy of mind,1483,715,True,True,True,True
"('consciousnessandcontent', 'philosophyofmind')",consciousness and content,philosophy of mind,924,715,True,True,True,True
"('philosophyofmathematics', 'zenosparadoxes')",zeno's paradoxes,philosophy of mathematics,1313,714,True,False,False,False
"('chineseethics', 'chinesephilosophy')",chinese ethics,chinese philosophy,1694,624,True,True,True,True
"('matter', 'philosophyofmind')",matter,philosophy of mind,1497,715,True,True,True,True
"('epistemologicalproblemsofperception', 'epistemology')",epistemological problems of perception,epistemology,1361,646,True,True,True,True
"('epistemology', 'knowledgebyacquaintanceandknowledgebydescription')",knowledge by acquaintance and knowledge by description,epistemology,1118,646,True,True,True,True
"('philosophyofscienceandthesciences', 'unityofscience')",unity of science,philosophy of science and the sciences,983,1826,True,True,True,True
"('eternityoftheworld', 'metaphysics')",eternity of the world,metaphysics,1892,681,True,True,True,True
"('consciousnessandmentalcontent', 'mentalcontent')",consciousness and mental content,mental content,961,925,True,False,False,False
"('philosophyofreligion', 'taoism')",taoism,philosophy of religion,559,724,True,True,True,True
"('bioethics', 'personalidentityandethics')",personal identity and ethics,bioethics,1598,621,True,True,True,True
"('ancienttheoriesofsoul', 'philosophyofmind')",ancient theories of soul,philosophy of mind,1327,715,True,True,True,True
"('atheism', 'philosophyofreligion')",atheism,philosophy of religion,50,724,True,True,True,True
"('cartesiandualism', 'perception')",cartesian dualism,perception,98,2078,True,True,True,True
"('aristotelianism', 'metaphysics')",aristotelianism,metaphysics,48,681,True,True,True,True
"('ethics', 'religionandmorality')",religion and morality,ethics,1576,647,True,True,True,True
"('philosophyofreligion', 'satanism')",satanism,philosophy of religion,506,724,True,False,False,False
"('perception', 'teleosemantics')",teleosemantics,perception,1987,2078,True,True,True,True
"('internalismandexternalism', 'perception')",internalism and externalism,perception,2163,2078,True,True,True,True
"('hilbertsprogram', 'philosophyofscienceandthesciences')",hilbert's program,philosophy of science and the sciences,1356,1826,True,True,True,True
"('philosophyofreligion', 'pragmaticargumentsandbeliefingod')",pragmatic arguments and belief in god,philosophy of religion,1850,724,True,True,True,True
"('continentalfeminism', 'continentalphilosophy')",continental feminism,continental philosophy,1120,631,True,True,True,True
"('epistemology', 'logos')",logos,epistemology,1612,646,True,True,True,True
"('artificialintelligence', 'computation')",artificial intelligence,computation,890,937,True,True,True,True
"('classicalphysics', 'philosophyofscienceandthesciences')",classical physics,philosophy of science and the sciences,931,1826,True,True,True,True
"('feministmetaphysics', 'metaphysics')",feminist metaphysics,metaphysics,1863,681,True,True,True,True
"('japanesephilosophy', 'zenbuddhism')",zen buddhism,japanese philosophy,759,671,True,True,True,True
"('socialandpoliticalphilosophy', 'socialphilosophy')",social philosophy,social and political philosophy,746,1787,True,True,True,True
"('philosophyoflanguage', 'privatelanguageargument')",private language argument,philosophy of language,1941,712,True,True,True,True
"('implicature', 'pragmatics')",implicature,pragmatics,1380,807,True,True,True,True
"('axiomatictheoriesoftruth', 'philosophyoflanguage')",axiomatic theories of truth,philosophy of language,1452,712,True,True,True,True
"('naturallawtradition', 'philosophyofreligion')",natural law tradition,philosophy of religion,1597,724,True,True,True,True
"('bayesstheorem', 'philosophyofscienceandthesciences')",bayes's theorem,philosophy of science and the sciences,1728,1826,True,False,False,False
"('biologicalaltruism', 'philosophyofbiology')",biological altruism,philosophy of biology,1330,704,True,True,True,True
"('artificialintelligence', 'temporallogic')",temporal logic,artificial intelligence,1294,890,True,True,True,True
"('metaphysicsandlanguage', 'philosophyoflanguage')",metaphysics and language,philosophy of language,2066,712,True,True,True,True
"('ethics', 'medievaltheoriesofpracticalreason')",medieval theories of practical reason,ethics,1070,647,True,True,True,True
"('indispensabilityargumentsinthephilosophyofmathematics', 'philosophyofscienceandthesciences')",indispensability arguments in the philosophy of mathematics,philosophy of science and the sciences,1246,1826,True,True,True,True
"('metaphysics', 'metaphysicsofcausation')",metaphysics of causation,metaphysics,1082,681,True,True,True,True
"('activationvalue', 'artificialintelligence')",activation value,artificial intelligence,955,890,True,True,True,True
"('developmentalbiology', 'trait')",trait,developmental biology,1938,1832,True,True,True,True
"('bioethics', 'doctrineofdoubleeffect')",doctrine of double effect,bioethics,1258,621,True,False,False,False
"('philosophyofchemistry', 'philosophyofphysics')",philosophy of chemistry,philosophy of physics,861,719,True,True,True,True
"('metaphysics', 'platosmiddleperiodmetaphysicsandepistemology')",plato's middle period metaphysics and epistemology,metaphysics,1368,681,True,True,True,True
"('statisticalmechanicsandthermodynamics', 'thermodynamicasymmetryintime')",thermodynamic asymmetry in time,statistical mechanics and thermodynamics,1066,967,True,True,True,True
"('interpretation', 'quantummechanics')",interpretation,quantum mechanics,845,1158,True,True,True,True
"('approachestofeministphilosophy', 'continentalphilosophy')",approaches to feminist philosophy,continental philosophy,1045,631,True,True,True,True
"('life', 'philosophyofreligion')",life,philosophy of religion,1764,724,True,True,True,True
"('contentsofperception', 'mentalcontent')",contents of perception,mental content,874,925,True,True,True,True
"('mentalrepresentation', 'perception')",mental representation,perception,1222,2078,True,True,True,True
"('goodnessandvaluetheory', 'metaphysics')",goodness and value theory,metaphysics,653,681,True,False,False,False
"('intentionality', 'philosophyofmind')",intentionality,philosophy of mind,1325,715,True,True,True,True
"('hardproblem', 'perception')",hard problem,perception,875,2078,True,True,True,True
"('concepts', 'perception')",concepts,perception,1734,2078,True,True,True,True
"('philosophyofmind', 'propernames')",proper names,philosophy of mind,2019,715,True,True,True,True
"('folkpsychology', 'philosophyofscienceandthesciences')",folk psychology,philosophy of science and the sciences,891,1826,True,True,True,True
"('computationandrepresentation', 'philosophyofmind')",computation and representation,philosophy of mind,936,715,True,True,True,True
"('mentalrepresentation', 'philosophyofmind')",mental representation,philosophy of mind,1222,715,True,True,True,True
"('metaphysics', 'processphilosophy')",process philosophy,metaphysics,733,681,True,True,True,True
"('metaphysics', 'philosophyofmathematics')",philosophy of mathematics,metaphysics,714,681,True,True,True,True
"('epistemology', 'epistemologyofreligion')",epistemology of religion,epistemology,1026,646,True,True,True,True
"('ancientphilosophyaristotle', 'metaphysics')",ancient philosophy (aristotle),metaphysics,1846,681,True,False,False,False
"('philosophyofchemistry', 'philosophyofmind')",philosophy of chemistry,philosophy of mind,861,715,True,True,True,True
"('abstractobject', 'philosophyofmind')",abstract object,philosophy of mind,846,715,True,True,True,True
"('japanesephilosophy', 'japanesezenbuddhistphilosophy')",japanese zen buddhist philosophy,japanese philosophy,1696,671,True,False,False,False
"('perception', 'philosophyofpsychology')",philosophy of psychology,perception,720,2078,True,True,True,True
"('epistemology', 'feministphilosophy')",feminist philosophy,epistemology,920,646,True,True,True,True
"('aristotleoncausality', 'metaphysics')",aristotle on causality,metaphysics,1725,681,True,False,False,False
"('historyoflogic', 'inductivelogic')",inductive logic,history of logic,912,917,True,True,True,True
"('philosophyofmind', 'psychiatry')",psychiatry,philosophy of mind,906,715,True,True,True,True
"('epistemologicalproblemsofmemory', 'philosophyofmind')",epistemological problems of memory,philosophy of mind,1241,715,True,True,True,True
"('medievalpoliticalphilosophy', 'philosophyofreligion')",medieval political philosophy,philosophy of religion,1700,724,True,True,True,True
"('lawandlanguage', 'philosophyoflanguage')",law and language,philosophy of language,1168,712,True,True,True,True
"('perception', 'problemofperception')",problem of perception,perception,872,2078,True,True,True,True
"('philosophyofbiology', 'philosophyofmind')",philosophy of biology,philosophy of mind,704,715,True,True,True,True
"('metaphysics', 'scottishphilosophyinthe19thcentury')",scottish philosophy in the 19th century,metaphysics,1713,681,True,True,True,True
"('metaphysics', 'socialandpoliticalphilosophy')",social and political philosophy,metaphysics,1787,681,True,True,True,True
"('continentalphilosophy', 'intersectionsbetweenpragmatistandcontinentalfeminism')",intersections between pragmatist and continental feminism,continental philosophy,1048,631,True,True,True,True
"('ethics', 'virtuesandvices')",ethics,virtues and vices,647,1879,True,True,True,True
"('mathematicallogic', 'philosophyofmind')",mathematical logic,philosophy of mind,914,715,True,True,True,True
"('eternityinchristianthought', 'metaphysics')",Eternity in Christian Thought,metaphysics,1580,681,True,True,True,True
"('historyoflogic', 'logicandgames')",logic and games,history of logic,1193,917,True,False,False,False
"('philosophyofmind', 'realismandantirealism')",realism and anti-realism,philosophy of mind,978,715,True,True,True,True
"('falsificationism', 'scientificmethodology')",falsificationism,scientific methodology,649,1830,True,True,True,True
"('perception', 'psychologicalrelation')",psychological relation,perception,886,2078,True,True,True,True
"('philosophyofscienceandthesciences', 'probability')",probability,philosophy of science and the sciences,770,1826,True,True,True,True
"('ethics', 'socialcontract')",social contract,ethics,1388,647,True,True,True,True
"('epistemology', 'philosophyofbiology')",philosophy of biology,epistemology,704,646,True,True,True,True
"('identityofindiscernibles', 'metaphysics')",identity of indiscernibles,metaphysics,1351,681,True,True,True,True
"('backwardcausation', 'causation')",backward causation,causation,1087,969,True,True,True,True
"('aestheticsandphilosophyofart', 'philosophyofcomposition')",aesthetics and philosophy of art,philosophy of composition,1788,707,True,True,True,True
"('epistemology', 'scientificmethodology')",scientific methodology,epistemology,1830,646,True,True,True,True
"('animalcognition', 'cognitivescience')",animal cognition,cognitive science,812,892,True,True,True,True
"('argumentsfortheexistenceofgod', 'philosophyofreligion')",arguments for the existence of god,philosophy of religion,1559,724,True,True,True,True
"('identityandindividualityinquantumtheory', 'metaphysics')",identity and individuality in quantum theory,metaphysics,1191,681,True,True,True,True
"('mentalstate', 'philosophyofmind')",mental state,philosophy of mind,964,715,True,True,True,True
"('philosophyofmathematics', 'philosophyofscience')",philosophy of mathematics,philosophy of science,714,722,True,True,True,True
"('monotheism', 'philosophyofreligion')",monotheism,philosophy of religion,360,724,True,True,True,True
"('logicandlanguage', 'philosophyofmind')",logic and language,philosophy of mind,941,715,True,True,True,True
"('chineseroomargument', 'philosophyofmind')",chinese room argument,philosophy of mind,1137,715,True,True,True,True
"('neutralmonism', 'philosophyofmind')",neutral monism,philosophy of mind,689,715,True,True,True,True
"('consciousness', 'phenomenologicalapproachestoselfconsciousness')",phenomenological approaches to self-consciousness,consciousness,1298,923,True,True,True,True
"('omniscience', 'philosophyofreligion')",omniscience,philosophy of religion,1577,724,True,True,True,True
"('epistemeandtechne', 'metaphysics')",episteme and techne,metaphysics,1608,681,True,True,True,True
"('aristotleandmathematics', 'philosophyofmathematics')",aristotle and mathematics,philosophy of mathematics,1010,714,True,True,True,True
"('logic', 'philosophyofcomputerscience')",philosophy of computer science,logic,903,674,True,True,True,True
"('thinkingmachine', 'turingtest')",thinking machine,turing test,894,990,True,True,True,True
"('mentalrepresentationinmedievalphilosophy', 'philosophyofmind')",mental representation in medieval philosophy,philosophy of mind,1040,715,True,True,True,True
"('epistemology', 'philosophyofnature')",philosophy of nature,epistemology,716,646,True,True,True,True
"('philosophyofreligion', 'religionandmorality')",religion and morality,philosophy of religion,1576,724,True,True,True,True
"('philosophyoflanguage', 'privatelanguage')",private language,philosophy of language,1097,712,True,True,True,True
"('epistemology', 'indeterminism')",indeterminism,epistemology,973,646,True,True,True,True
"('evolutionarypsychology', 'philosophyofreligion')",evolutionary psychology,philosophy of religion,1833,724,True,True,True,True
"('philosophyofmind', 'philosophyofperception')",philosophy of perception,philosophy of mind,718,715,True,True,True,True
"('algebra', 'philosophyofmathematics')",philosophy of mathematics,algebra,714,1421,True,True,True,True
"('metaphysics', 'philosophyofbiology')",philosophy of biology,metaphysics,704,681,True,True,True,True
"('afterlife', 'eternityoftheworld')",eternity of the world,afterlife,1892,1581,True,True,True,True
"('artificialintelligence', 'modernhistoryofcomputing')",modern history of computing,artificial intelligence,1234,890,True,False,False,False
"('ambiguity', 'epistemology')",ambiguity,epistemology,1883,646,True,True,True,True
"('artificialintelligence', 'frameproblem')",frame problem,artificial intelligence,831,890,True,True,True,True
"('consciousnessandcontent', 'perception')",consciousness and content,perception,924,2078,True,True,True,True
"('epistemology', 'interpretation')",interpretation,epistemology,845,646,True,True,True,True
"('dualism', 'philosophyofmind')",dualism,philosophy of mind,168,715,True,True,True,True
"('cognitivescience', 'philosophiesoftheparticularsciences')",cognitive science,philosophies of the particular sciences,892,1827,True,True,True,True
"('animalcognition', 'perception')",animal cognition,perception,812,2078,True,True,True,True
"('epistemology', 'virtueepistemology')",virtue epistemology,epistemology,1143,646,True,True,True,True
"('mentalcontent', 'theoriesofmentalcontent')",theories of mental content,mental content,927,925,True,True,True,True
"('mentalcontent', 'mentalimagery')",mental imagery,mental content,1223,925,True,True,True,True
"('continentalphilosophy', 'feminism')",feminism,continental philosophy,215,631,True,True,True,True
"('epistemology', 'psychiatry')",psychiatry,epistemology,906,646,True,True,True,True
"('africanandafricanamericanphilosophy', 'africansagephilosophy')",african sage philosophy,african and african-american philosophy,1662,1652,True,True,True,True
